epoch,f1_score,prec_macro,step,test_loss_epoch,test_loss_step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
,,,0,,,,,,0.7787426114082336
,,,1,,,,,,1.1461900472640991
,,,2,,,,,,1.150001049041748
0,0.1550387591123581,0.10101009905338287,4,,,,,0.9681492447853088,
0,,,4,,,1.0444090366363525,,,
1,,,9,,,,0.8620142936706543,,
,,,3,,,,,,0.7730046510696411
,,,4,,,,,,1.1412162780761719
,,,5,,,,,,1.1429271697998047
1,0.2150537669658661,0.1587301641702652,9,,,,,0.9627412557601929,
1,,,9,,,0.9502264261245728,,,
,,,6,,,,,,0.7676103115081787
,,,7,,,,,,1.118747591972351
,,,8,,,,,,1.1173210144042969
2,0.2150537669658661,0.1587301641702652,14,,,,,0.9484559893608093,
2,,,14,,,0.9375052452087402,,,
3,,,19,,,,0.9825626611709595,,
,,,9,,,,,,0.7740204334259033
,,,10,,,,,,1.0613303184509277
,,,11,,,,,,1.0285921096801758
3,0.3606632351875305,0.2929292917251587,19,,,,,0.9210364818572998,
3,,,19,,,0.9074095487594604,,,
,,,12,,,,,,0.7852291464805603
,,,13,,,,,,1.0060925483703613
,,,14,,,,,,0.9572601318359375
4,0.4905303120613098,0.420634925365448,24,,,,,0.8975275158882141,
4,,,24,,,0.8918843865394592,,,
5,,,29,,,,0.9794386029243469,,
,,,15,,,,,,0.7857253551483154
,,,16,,,,,,0.9685083031654358
,,,17,,,,,,0.9067971706390381
5,0.5049493312835693,0.43714189529418945,29,,,,,0.8780162334442139,
5,,,29,,,0.8731393814086914,,,
,,,18,,,,,,0.7742863297462463
,,,19,,,,,,0.9405752420425415
,,,20,,,,,,0.8699123859405518
6,0.5346608757972717,0.773982048034668,34,,,,,0.8578090667724609,
6,,,34,,,0.8456968665122986,,,
7,,,39,,,,0.7235973477363586,,
,,,21,,,,,,0.7908632755279541
,,,22,,,,,,0.8963039517402649
,,,23,,,,,,0.8253443837165833
7,1.0,1.0,39,,,,,0.8430308699607849,
7,,,39,,,0.824305534362793,,,
,,,24,,,,,,0.7653810977935791
,,,25,,,,,,0.8693630695343018
,,,26,,,,,,0.7949484586715698
8,1.0,1.0,44,,,,,0.816692590713501,
8,,,44,,,0.7916905283927917,,,
9,,,49,,,,0.6680054068565369,,
,,,27,,,,,,0.7445307374000549
,,,28,,,,,,0.8445946574211121
,,,29,,,,,,0.7648032903671265
9,1.0,1.0,49,,,,,0.7936608791351318,
9,,,49,,,0.7732865810394287,,,
,,,30,,,,,,0.7319710850715637
,,,31,,,,,,0.8101950287818909
,,,32,,,,,,0.7472488880157471
10,1.0,1.0,54,,,,,0.7703608274459839,
10,,,54,,,0.746830940246582,,,
11,,,59,,,,0.6572979688644409,,
,,,33,,,,,,0.7176625728607178
,,,34,,,,,,0.7810958623886108
,,,35,,,,,,0.7392969727516174
11,0.9840455651283264,0.9855072498321533,59,,,,,0.7490737438201904,
11,,,59,,,0.7280963063240051,,,
,,,36,,,,,,0.7016210556030273
,,,37,,,,,,0.7541930675506592
,,,38,,,,,,0.7357275485992432
12,0.9840455651283264,0.9855072498321533,64,,,,,0.7281440496444702,
12,,,64,,,0.7103822827339172,,,
13,,,69,,,,0.5893203020095825,,
,,,39,,,,,,0.6781505942344666
,,,40,,,,,,0.7242158651351929
,,,41,,,,,,0.7352084517478943
13,1.0,1.0,69,,,,,0.702214241027832,
13,,,69,,,0.678156852722168,,,
,,,42,,,,,,0.6591757535934448
,,,43,,,,,,0.6930927038192749
,,,44,,,,,,0.7243689298629761
14,1.0,1.0,74,,,,,0.6775959134101868,
14,,,74,,,0.6567120552062988,,,
15,,,79,,,,0.662509024143219,,
,,,45,,,,,,0.6382080316543579
,,,46,,,,,,0.663139283657074
,,,47,,,,,,0.7011635303497314
15,1.0,1.0,79,,,,,0.6522036194801331,
15,,,79,,,0.6293362975120544,,,
,,,48,,,,,,0.6178570985794067
,,,49,,,,,,0.6414297819137573
,,,50,,,,,,0.6844174861907959
16,0.9694987535476685,0.9715151786804199,84,,,,,0.6313032507896423,
16,,,84,,,0.6135155558586121,,,
17,,,89,,,,0.7217720746994019,,
,,,51,,,,,,0.6074120402336121
,,,52,,,,,,0.6309168338775635
,,,53,,,,,,0.6972557306289673
17,0.9694987535476685,0.9715151786804199,89,,,,,0.6215308904647827,
17,,,89,,,0.594702959060669,,,
,,,54,,,,,,0.5834911465644836
,,,55,,,,,,0.6184139847755432
,,,56,,,,,,0.7778818607330322
18,0.9707936644554138,0.9743589758872986,94,,,,,0.6063140630722046,
18,,,94,,,0.5878040194511414,,,
19,,,99,,,,0.5612133145332336,,
,,,57,,,,,,0.5689213871955872
,,,58,,,,,,0.6116052269935608
,,,59,,,,,,0.8385114669799805
19,0.9707936644554138,0.9743589758872986,99,,,,,0.5977859497070312,
19,,,99,,,0.5803163647651672,,,
,,,0,,0.5689213871955872,,,,
,,,1,,0.6116052269935608,,,,
,,,2,,0.8385114669799805,,,,
20,,,100,0.5977859497070312,,,,,
